  ,filename,title,author,creator,date ,description,subject,location,latitude,longitude,geo_reference,source,identifier,type,format,language,rights,rightsstatement,
blackworld033,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PT3#v=onepage&q&f=false,"Would He Look Better in a Sweater and Chinos, with a science book under his arm?",,johnson Publishing,1974.07,"A critique of both white and black people from all political ideologies, who condemn Black 'militants'.","Black Nationalism, Afro-Centrism",,,,,Google Books,1974.07.100,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld034,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,On Richard Wright and Zora Neale Hurston,June Jordan,johnson Publishing,1974.08,"An article about the two famous early twentieth century Black writers, Zora Neale Hurston and Richard Wright. This article explores these two's works, as well as the similarities and differences in opinion on race between the two.","Harlem Renaissance, Black Novelists","New York City, New York",40.66785978,40.66785978,,Google Books,1974.08.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld035,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA10#v=onepage&q&f=false,Black Women Image Makers,Mary Helen Washington,johnson Publishing,1974.08,"This article examines negative portrayals of Black women in white media, and the Black female writers like Maya Angelou, Alice Walker, Paule Marshall, and others. ","Black Novelists, Black Women, Poetry, LGBTQ+ History","Detriot, Michigan",42.41406883,-83.13803536,,Google Books,1974.08.10,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld036,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA19#v=onepage&q&f=false,A Sea of Brown Boys,Barbara D. Mahone,johnson Publishing,1974.08,A poem about inner city Black communities,Poetry,"Chicago, Illinois",41.88235766,-87.61530771,,Google Books,1974.08.19,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld037,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,Zora Neale Hurston: The Novelist-Antrhopologist's Life/Works,Ellease Southerland,johnson Publishing,1974.08,This article is the biography of the life and work of Zora Neale Hurston,"Black Novelists, Black Women, Anthropology","Eatonville, Florida","28.618173456440488, ",-81.39308374,,Google Books,1974.08.20,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld038,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA30#v=onepage&q&f=false,The Televised Rape of Miss Jane Pitman,Alvin Ramsey,johnson Publishing,1974.08,This article is a critique of the 1974 television movie  The Autobiography of Miss Jane Pittman,"Slavery, History, Black Television, Civil Wars",Louisiana,32.07214189,-92.39524997,,Google Books,1974.08.31,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld039,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA37#v=onepage&q&f=false,On a Dead Child,Elwood N. Dudley,johnson Publishing,1974.08,A poem about violence,Poetry,"Madison, Minnesota",45.01313444,-96.19176182,,Google Books,1974.07.37,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld040,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA38#v=onepage&q&f=false,The Collapse of Portugal's African Empire,Ladun Anise,johnson Publishing,1974.08,"An article about the European colonization of Africa, and how Portuguese control of Africa fell to independence movements in the early 1970s","African History, Portugal, ",Angola,-11.10947599,17.09815264,,Google Books,1974.07.39,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld041,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA40#v=onepage&q&f=false,The Developing Crisis in Southern Africa,T.X. Makiwane,johnson Publishing,1974.08,An article about the political strife in Zamiba in the 1970s,"African History, Zambian History, Apartheid",Zambia,-13.83410996,28.11357257,,Google Books,1974.07.41,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld042,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA48#v=onepage&q&f=false,Moments,Nubia Kai,johnson Publishing,1974.08,A poem about war,Poetry,"Detroit, Michigan",42.33229213,-83.04566496,,Google Books,1974.07.48,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld043,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,Festival Warning,,johnson Publishing,1974.08,"A warning about a scam going on at the time, where people posed as travel agents and took money from African Americans trying to go to a music fesitival in Lagos.",Black Musicians,"Lagos, Nigeria",6.51528324,3.360839691,,Google Books,1974.07.49,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld044,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,Perspectives,,johnson Publishing,1974.08,"A review of new at the time books, plays, music acts, etc, notable in the Black community. Some standouts are James Baldwin's If Beale Street Could Talk, publications in the Black Scholar and a poetry collection by Joyce Carol Thomas. It also notes grants won by African American professors and art museums. ","Black Authors, Black Professors, HBCUS, Black Art",,,,N/A,Google Books,1974.07.49,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld045,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=false,"Books Noted: The Price is Too High: A Look at Wole Soyinka's ""The Man Died""",Carrie Sembene,johnson Publishing,1974.08,"A book review of Wole Soyinka's ""The Man Died,"" which is a collection of his notes from prison during the Nigerian Civil War","Black Authors, Nigerian Civil War","Abeokuta, Nigeria",7.151428227,3.329625732,Subject,Google Books,1974.07.51,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld046,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=false,Manchupa Suite,Everett Hoagland,johnson Publishing,1974.08,A short poem about identity,"Black Authors, Poetry","Dartmouth, Massachusetts",41.62669965,-71.00545506,Author,Google Books,1974.07.53,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
