  ,filename,title,author,creator,date ,description,subject,location,latitude,longitude,geo_reference,source,identifier,type,format,language,rights,rightsstatement,
blackworld134,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA43#v=onepage&q&f=false,Black Labor: Powerful Force For Liberation,Earl Ofari,johnson publishing,1973. 10,An article discussing the utilization of Black workers for liberation. ,"Liberation, Black Labor, Workers Rights","Chicago, Ilinois ",41.87930253,-87.62800228,,Google Books,1973.10.42,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Publication 
blackworld135,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA60#v=onepage&q&f=false,A Blueprint For Black Liberation ,Obi Antarah,johnson publishing,1973. 10,An in depth analysis and critique on black revolutionists that provides different approaches to handling and working against white supremacy.,"Black Nationalism, Revolution, White Supremacy","Chicago, Ilinois ",41.87930253,-87.62800228,,Google Books,1973.10.62,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Publication 
blackworld136,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA68#v=onepage&q&f=false,"David Walker and Malcolm X, BROTHERS IN RADICAL",William Seraile ,johnson publishing,1973. 10,Article by William Seraille that compares and relates similarites between the philosophies of Malcolm X and David Walker.,"Malcolm X, David Walker, Nation of Islam","New York City, NY",40.7155891,-74.00921819,,Google Books,1973.10.68,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author 
blackworld137,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA56#v=onepage&q&f=false,Mama Pritchett ,Hazel.V Bright ,johnson publishing,1973. 10,Poem that provides the perspective of Black women's experience in the north and south. ,"Black Women, Great Migration","Chicago, Ilinois ",43.55918086,-79.62971082,,Google Books ,1973.10.55,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Publication 
blackworld138,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA74#v=onepage&q&f=false,Political Prisoner ,Brenda Torres ,johnson publishing,1973. 10,Poem entailing the disposition of the american government vs. being an american. ,"Revolution, Political Prisoners","Chicago, Ilinois",43.55918086,-79.62971082,,Google Books ,1973.10.74,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Publication
blackworld139,https://books.google.com/books?id=TjoDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,Some Guidlines: Music Research and The Black Aesthetic ,Eileen Southern,johnson publishing,1973.11,Article that offers critique and enthusiam for the future of black music composition and composers. ,"Music, Black Composers","Minneapolis, Minnesota ",44.980959,-93.259515,,Google Books,1973.11.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld140,https://books.google.com/books?id=TjoDAAAAMBAJ&lpg=PA1&pg=PA14#v=onepage&q&f=false,Improvisation and The Aural Tradition of Afro-American Music,Marion Brown ,johnson publishing,1973.11,An Article detailing the similarities and traits of african american musical interpretation in comparison with traditional african music style. ,,,33.7484192,-84.38718872,,Google Books,1973.11.14,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld141,https://books.google.com/books?id=TjoDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,The Battle for Legitimacy:'Jazz vs Academia' ,David Baker ,johnson publishing,1973.11,Article by David Baker discussing the lack of credibility given to Black musicians and both the contribution of Jazz by Blacks as well as the legitimacy of Jazz as a musical Genre. ,"Jazz, Legitimacy ",,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
blackworld043,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA38#v=onepage&q&f=false,"Africa, Asia, and the Americas.",Miller,johnson Publishing,,,,,,,,Google Books,,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
